================================================================================
REPORTE DE CAMPAÑA DE VACUNACIÓN COVID-19
Ministerio de Salud - Gobierno Nacional
Fecha de generación: 24/08/2025 04:49:42
================================================================================

RESUMEN ESTADÍSTICO:
Total de ciudadanos registrados: 500
Total de registros de vacunación: 261
Ciudadanos no vacunados: 365 (73.0%)
Ciudadanos con esquema completo: 101 (20.2%)

1. CIUDADANOS NO VACUNADOS
Total: 365 ciudadanos
--------------------------------------------------
001. ID: 2, Nombre: David Martín, Cédula: 1700000002
002. ID: 3, Nombre: Mercedes Gómez, Cédula: 1700000003
003. ID: 4, Nombre: Miguel Muñoz, Cédula: 1700000004
004. ID: 7, Nombre: Isabel Hernández, Cédula: 1700000007
005. ID: 8, Nombre: Cristina Ruiz, Cédula: 1700000008
006. ID: 9, Nombre: Pilar Muñoz, Cédula: 1700000009
007. ID: 11, Nombre: Javier Fernández, Cédula: 1700000011
008. ID: 12, Nombre: Rosa Gómez, Cédula: 1700000012
009. ID: 14, Nombre: Manuel Romero, Cédula: 1700000014
010. ID: 15, Nombre: Francisco Martín, Cédula: 1700000015
011. ID: 16, Nombre: Cristina Martín, Cédula: 1700000016
012. ID: 17, Nombre: Elena Martínez, Cédula: 1700000017
013. ID: 18, Nombre: Cristina Martínez, Cédula: 1700000018
014. ID: 19, Nombre: Pilar García, Cédula: 1700000019
015. ID: 21, Nombre: Javier Alonso, Cédula: 1700000021
016. ID: 22, Nombre: Laura Jiménez, Cédula: 1700000022
017. ID: 23, Nombre: Cristina Álvarez, Cédula: 1700000023
018. ID: 25, Nombre: Francisco Moreno, Cédula: 1700000025
019. ID: 26, Nombre: Francisco Fernández, Cédula: 1700000026
020. ID: 27, Nombre: Ana Fernández, Cédula: 1700000027
021. ID: 28, Nombre: Elena Gutiérrez, Cédula: 1700000028
022. ID: 29, Nombre: Carmen Martín, Cédula: 1700000029
023. ID: 30, Nombre: Luis Ruiz, Cédula: 1700000030
024. ID: 33, Nombre: Ana Sánchez, Cédula: 1700000033
025. ID: 34, Nombre: Javier Moreno, Cédula: 1700000034
026. ID: 36, Nombre: Ana Pérez, Cédula: 1700000036
027. ID: 37, Nombre: María Díaz, Cédula: 1700000037
028. ID: 40, Nombre: Fernando Gómez, Cédula: 1700000040
029. ID: 42, Nombre: Carmen Rodríguez, Cédula: 1700000042
030. ID: 43, Nombre: Javier Álvarez, Cédula: 1700000043
031. ID: 45, Nombre: Rosa González, Cédula: 1700000045
032. ID: 46, Nombre: Fernando Díaz, Cédula: 1700000046
033. ID: 47, Nombre: Francisco García, Cédula: 1700000047
034. ID: 49, Nombre: Manuel Moreno, Cédula: 1700000049
035. ID: 50, Nombre: David Martínez, Cédula: 1700000050
036. ID: 51, Nombre: Miguel González, Cédula: 1700000051
037. ID: 53, Nombre: Laura Álvarez, Cédula: 1700000053
038. ID: 54, Nombre: María Rodríguez, Cédula: 1700000054
039. ID: 55, Nombre: Carlos Alonso, Cédula: 1700000055
040. ID: 56, Nombre: Luis Rodríguez, Cédula: 1700000056
041. ID: 57, Nombre: Ana Gómez, Cédula: 1700000057
042. ID: 58, Nombre: Cristina Pérez, Cédula: 1700000058
043. ID: 59, Nombre: Javier Ruiz, Cédula: 1700000059
044. ID: 61, Nombre: Laura Alonso, Cédula: 1700000061
045. ID: 64, Nombre: Ana Sánchez, Cédula: 1700000064
046. ID: 65, Nombre: María García, Cédula: 1700000065
047. ID: 66, Nombre: Miguel García, Cédula: 1700000066
048. ID: 68, Nombre: Cristina Jiménez, Cédula: 1700000068
049. ID: 69, Nombre: Antonio Díaz, Cédula: 1700000069
050. ID: 71, Nombre: Antonio Rodríguez, Cédula: 1700000071
051. ID: 72, Nombre: Mercedes Ruiz, Cédula: 1700000072
052. ID: 73, Nombre: Mercedes García, Cédula: 1700000073
053. ID: 74, Nombre: María Pérez, Cédula: 1700000074
054. ID: 75, Nombre: Mercedes Moreno, Cédula: 1700000075
055. ID: 76, Nombre: Elena Hernández, Cédula: 1700000076
056. ID: 79, Nombre: María Álvarez, Cédula: 1700000079
057. ID: 80, Nombre: Ana Gómez, Cédula: 1700000080
058. ID: 81, Nombre: Fernando Romero, Cédula: 1700000081
059. ID: 83, Nombre: Laura García, Cédula: 1700000083
060. ID: 84, Nombre: Mercedes Fernández, Cédula: 1700000084
061. ID: 85, Nombre: Miguel Jiménez, Cédula: 1700000085
062. ID: 86, Nombre: Ana Martínez, Cédula: 1700000086
063. ID: 88, Nombre: José Alonso, Cédula: 1700000088
064. ID: 90, Nombre: Cristina García, Cédula: 1700000090
065. ID: 92, Nombre: Laura López, Cédula: 1700000092
066. ID: 93, Nombre: Luis Rodríguez, Cédula: 1700000093
067. ID: 95, Nombre: Antonio Romero, Cédula: 1700000095
068. ID: 96, Nombre: Carlos Rodríguez, Cédula: 1700000096
069. ID: 98, Nombre: Rosa Díaz, Cédula: 1700000098
070. ID: 100, Nombre: Ana García, Cédula: 1700000100
071. ID: 101, Nombre: Elena Ruiz, Cédula: 1700000101
072. ID: 103, Nombre: Ana Jiménez, Cédula: 1700000103
073. ID: 104, Nombre: Mercedes Martínez, Cédula: 1700000104
074. ID: 105, Nombre: Carmen González, Cédula: 1700000105
075. ID: 106, Nombre: Pilar Hernández, Cédula: 1700000106
076. ID: 107, Nombre: Ana Moreno, Cédula: 1700000107
077. ID: 108, Nombre: Ana Rodríguez, Cédula: 1700000108
078. ID: 109, Nombre: María Jiménez, Cédula: 1700000109
079. ID: 110, Nombre: Isabel Gutiérrez, Cédula: 1700000110
080. ID: 111, Nombre: Carmen Rodríguez, Cédula: 1700000111
081. ID: 113, Nombre: Patricia Gómez, Cédula: 1700000113
082. ID: 114, Nombre: Carmen Gómez, Cédula: 1700000114
083. ID: 115, Nombre: Mercedes Moreno, Cédula: 1700000115
084. ID: 116, Nombre: Cristina Romero, Cédula: 1700000116
085. ID: 117, Nombre: Cristina Jiménez, Cédula: 1700000117
086. ID: 118, Nombre: Cristina Muñoz, Cédula: 1700000118
087. ID: 119, Nombre: Mercedes Sánchez, Cédula: 1700000119
088. ID: 120, Nombre: Mercedes Martín, Cédula: 1700000120
089. ID: 121, Nombre: Antonio Sánchez, Cédula: 1700000121
090. ID: 122, Nombre: Pilar González, Cédula: 1700000122
091. ID: 124, Nombre: Antonio Moreno, Cédula: 1700000124
