================================================================================
REPORTE DE CAMPAÑA DE VACUNACIÓN COVID-19
Ministerio de Salud - Gobierno Nacional
Fecha de generación: 24/08/2025 04:50:05
================================================================================

RESUMEN ESTADÍSTICO:
Total de ciudadanos registrados: 500
Total de registros de vacunación: 260
Ciudadanos no vacunados: 357 (71.4%)
Ciudadanos con esquema completo: 106 (21.2%)

1. CIUDADANOS NO VACUNADOS
Total: 357 ciudadanos
--------------------------------------------------
001. ID: 1, Nombre: Luis Muñoz, Cédula: 1700000001
002. ID: 2, Nombre: Isabel Hernández, Cédula: 1700000002
003. ID: 4, Nombre: Fernando Martín, Cédula: 1700000004
004. ID: 6, Nombre: Fernando Álvarez, Cédula: 1700000006
005. ID: 7, Nombre: Patricia Gutiérrez, Cédula: 1700000007
006. ID: 8, Nombre: Ana Romero, Cédula: 1700000008
007. ID: 9, Nombre: Rosa Gómez, Cédula: 1700000009
008. ID: 10, Nombre: Mercedes Jiménez, Cédula: 1700000010
009. ID: 11, Nombre: Francisco Sánchez, Cédula: 1700000011
010. ID: 12, Nombre: Laura Martín, Cédula: 1700000012
011. ID: 13, Nombre: Laura Muñoz, Cédula: 1700000013
012. ID: 14, Nombre: Isabel Gómez, Cédula: 1700000014
013. ID: 16, Nombre: José Ruiz, Cédula: 1700000016
014. ID: 17, Nombre: Rafael Martínez, Cédula: 1700000017
015. ID: 18, Nombre: José Pérez, Cédula: 1700000018
016. ID: 19, Nombre: Pilar López, Cédula: 1700000019
017. ID: 20, Nombre: David Álvarez, Cédula: 1700000020
018. ID: 21, Nombre: Rafael Martín, Cédula: 1700000021
019. ID: 23, Nombre: Isabel Hernández, Cédula: 1700000023
020. ID: 24, Nombre: Pilar Fernández, Cédula: 1700000024
021. ID: 25, Nombre: Pilar Gutiérrez, Cédula: 1700000025
022. ID: 26, Nombre: Cristina Martín, Cédula: 1700000026
023. ID: 27, Nombre: María Gutiérrez, Cédula: 1700000027
024. ID: 28, Nombre: Fernando Fernández, Cédula: 1700000028
025. ID: 29, Nombre: Ana Álvarez, Cédula: 1700000029
026. ID: 30, Nombre: Miguel Rodríguez, Cédula: 1700000030
027. ID: 31, Nombre: Mercedes Hernández, Cédula: 1700000031
028. ID: 32, Nombre: Antonio Gutiérrez, Cédula: 1700000032
029. ID: 33, Nombre: Elena Hernández, Cédula: 1700000033
030. ID: 35, Nombre: Elena Fernández, Cédula: 1700000035
031. ID: 36, Nombre: Antonio Gutiérrez, Cédula: 1700000036
032. ID: 37, Nombre: José Pérez, Cédula: 1700000037
